"filename", "language", "JSON", "Python", "comment", "blank", "total"
"d:\Code\Y4S12Software\Codes\program\component\musicPlayer.py", "Python", 0, 38, 4, 2, 44
"d:\Code\Y4S12Software\Codes\program\playlists\1.json", "JSON", -11, 0, 0, 0, -11
"Total", "-", -11, 38, 4, 2, 33
