"filename", "language", "CSS", "JSON", "Python", "comment", "blank", "total"
"d:\Code\Y4S12Software\Codes\program\component\musicPlayer.py", "Python", 0, 0, 45, 2, 8, 55
"d:\Code\Y4S12Software\Codes\program\component\qss\black.qss", "CSS", 120, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\brown.qss", "CSS", 120, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\green.qss", "CSS", 120, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\musicPlayer.qss", "CSS", 60, 0, 0, 0, 11, 71
"d:\Code\Y4S12Software\Codes\program\component\qss\white.qss", "CSS", 120, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\playlists\1.json", "JSON", 0, 267, 0, 0, 0, 267
"d:\Code\Y4S12Software\Codes\program\playlists\cosineSlimilarityList.json", "JSON", 0, 256, 0, 0, 0, 256
"Total", "-", 540, 523, 45, 2, 123, 1233
